Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
45,58.0,54.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,54.675,2.017
46,58.0,54.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,55.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,54.675,2.017
47,58.0,54.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,54.65,2.019
48,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,54.625,2.033
49,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,54.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.6,2.022
50,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.575,2.036
51,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.575,2.036
52,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,57.0,52.0,57.0,56.0,58.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.575,2.036
53,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,51.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,57.0,52.0,57.0,55.0,58.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.55,2.024
54,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,57.0,52.0,57.0,55.0,58.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.525,2.073
55,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,57.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.5,2.037
56,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,56.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.475,2.012
57,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
58,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
59,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
60,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
61,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
62,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
63,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
64,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
65,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
66,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
67,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
68,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
69,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
70,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,55.0,57.0,56.0,54.0,55.0,56.0,55.0,54.425,1.999
71,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,53.0,57.0,56.0,54.0,55.0,56.0,55.0,54.375,2.009
72,58.0,53.0,53.0,56.0,57.0,51.0,49.0,54.0,52.0,50.0,56.0,53.0,56.0,52.0,55.0,53.0,55.0,54.0,52.0,57.0,55.0,57.0,56.0,54.0,56.0,55.0,56.0,52.0,55.0,54.0,54.0,56.0,53.0,53.0,57.0,56.0,54.0,55.0,56.0,55.0,54.375,2.009
