Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
71,31.0,28.0,25.0,23.0,26.0,22.0,24.0,28.0,23.0,25.0,26.0,21.0,21.0,23.0,29.0,22.0,20.0,28.0,25.0,24.0,25.0,26.0,26.0,21.0,24.0,23.0,25.0,28.0,24.0,24.0,24.0,20.0,25.0,24.0,19.0,26.0,20.0,22.0,28.0,26.0,24.35,2.716
72,31.0,28.0,25.0,23.0,25.0,22.0,24.0,28.0,23.0,25.0,26.0,21.0,21.0,23.0,29.0,22.0,20.0,28.0,25.0,24.0,25.0,26.0,26.0,21.0,24.0,23.0,25.0,28.0,24.0,23.0,24.0,20.0,24.0,24.0,19.0,26.0,20.0,22.0,28.0,26.0,24.275,2.711
73,31.0,28.0,24.0,23.0,25.0,22.0,24.0,28.0,23.0,25.0,26.0,21.0,21.0,23.0,29.0,22.0,20.0,26.0,25.0,24.0,24.0,26.0,26.0,21.0,24.0,23.0,25.0,28.0,24.0,23.0,24.0,20.0,24.0,24.0,19.0,26.0,20.0,22.0,28.0,24.0,24.125,2.638
74,31.0,28.0,24.0,23.0,25.0,22.0,24.0,28.0,23.0,25.0,26.0,21.0,21.0,23.0,29.0,22.0,20.0,26.0,25.0,24.0,24.0,26.0,26.0,21.0,24.0,23.0,24.0,28.0,24.0,23.0,24.0,20.0,24.0,24.0,19.0,26.0,20.0,22.0,28.0,24.0,24.1,2.634
75,31.0,28.0,23.0,23.0,25.0,22.0,24.0,28.0,23.0,25.0,24.0,21.0,21.0,23.0,29.0,22.0,20.0,26.0,25.0,22.0,24.0,26.0,26.0,21.0,24.0,23.0,24.0,28.0,24.0,23.0,24.0,20.0,24.0,24.0,19.0,26.0,20.0,22.0,27.0,24.0,23.95,2.607
76,31.0,28.0,22.0,23.0,25.0,22.0,24.0,28.0,23.0,25.0,24.0,21.0,21.0,23.0,29.0,22.0,20.0,25.0,25.0,22.0,24.0,26.0,26.0,21.0,24.0,23.0,24.0,28.0,24.0,23.0,24.0,20.0,24.0,24.0,19.0,26.0,20.0,22.0,27.0,24.0,23.9,2.606
77,31.0,28.0,22.0,23.0,25.0,22.0,24.0,28.0,23.0,25.0,24.0,21.0,21.0,23.0,29.0,22.0,20.0,24.0,24.0,22.0,24.0,26.0,26.0,21.0,24.0,23.0,24.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,19.0,26.0,20.0,22.0,27.0,23.0,23.8,2.638
78,31.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,25.0,24.0,20.0,21.0,23.0,29.0,21.0,20.0,24.0,24.0,22.0,24.0,26.0,26.0,21.0,24.0,23.0,24.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,19.0,26.0,20.0,22.0,27.0,23.0,23.7,2.676
79,31.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,24.0,24.0,20.0,21.0,23.0,29.0,21.0,20.0,24.0,24.0,22.0,23.0,26.0,26.0,21.0,24.0,23.0,24.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,19.0,26.0,20.0,22.0,27.0,23.0,23.65,2.67
80,31.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,24.0,23.0,20.0,21.0,23.0,29.0,21.0,20.0,24.0,24.0,22.0,23.0,26.0,26.0,21.0,24.0,23.0,24.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,19.0,25.0,20.0,22.0,27.0,23.0,23.6,2.653
