Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
35,32.0,38.0,39.0,27.0,37.0,45.0,33.0,38.0,35.0,32.0,34.0,37.0,34.0,39.0,36.0,37.0,33.0,32.0,32.0,37.0,39.0,39.0,40.0,38.0,35.0,38.0,36.0,32.0,35.0,26.0,35.0,36.0,37.0,39.0,42.0,36.0,35.0,38.0,37.0,39.0,35.975,3.553
36,32.0,37.0,39.0,27.0,36.0,44.0,33.0,38.0,34.0,32.0,33.0,37.0,34.0,39.0,36.0,37.0,33.0,32.0,31.0,37.0,38.0,38.0,40.0,38.0,35.0,38.0,35.0,31.0,35.0,25.0,35.0,35.0,35.0,39.0,42.0,36.0,35.0,38.0,37.0,37.0,35.575,3.563
37,32.0,35.0,38.0,27.0,36.0,44.0,33.0,37.0,34.0,30.0,33.0,35.0,33.0,39.0,34.0,37.0,33.0,31.0,31.0,37.0,36.0,38.0,39.0,38.0,34.0,38.0,35.0,31.0,35.0,25.0,35.0,35.0,35.0,38.0,41.0,36.0,35.0,38.0,37.0,37.0,35.125,3.501
38,31.0,35.0,38.0,27.0,36.0,44.0,33.0,37.0,34.0,30.0,33.0,35.0,33.0,38.0,34.0,37.0,33.0,30.0,31.0,37.0,36.0,38.0,39.0,38.0,34.0,38.0,35.0,31.0,35.0,25.0,35.0,35.0,35.0,37.0,41.0,36.0,35.0,38.0,37.0,36.0,35.0,3.507
39,31.0,34.0,38.0,27.0,35.0,44.0,32.0,37.0,34.0,30.0,32.0,34.0,33.0,37.0,34.0,37.0,33.0,30.0,31.0,37.0,35.0,38.0,39.0,37.0,34.0,38.0,35.0,29.0,35.0,25.0,35.0,34.0,34.0,37.0,37.0,35.0,34.0,37.0,37.0,36.0,34.525,3.42
40,31.0,34.0,38.0,27.0,35.0,44.0,32.0,37.0,34.0,29.0,32.0,33.0,33.0,36.0,34.0,36.0,33.0,30.0,31.0,37.0,34.0,38.0,38.0,37.0,34.0,38.0,34.0,29.0,35.0,25.0,35.0,34.0,34.0,36.0,37.0,35.0,34.0,37.0,37.0,36.0,34.325,3.387
41,31.0,33.0,37.0,27.0,35.0,42.0,31.0,37.0,34.0,29.0,32.0,33.0,33.0,35.0,34.0,35.0,33.0,29.0,31.0,37.0,33.0,37.0,38.0,37.0,34.0,38.0,34.0,29.0,34.0,25.0,34.0,34.0,34.0,36.0,37.0,35.0,34.0,37.0,37.0,36.0,34.025,3.244
42,31.0,33.0,37.0,26.0,35.0,42.0,31.0,35.0,34.0,29.0,32.0,33.0,32.0,34.0,34.0,35.0,32.0,29.0,31.0,37.0,33.0,37.0,38.0,37.0,33.0,38.0,34.0,29.0,34.0,25.0,34.0,34.0,34.0,35.0,37.0,33.0,34.0,37.0,37.0,35.0,33.75,3.262
43,30.0,33.0,36.0,26.0,34.0,42.0,31.0,35.0,34.0,29.0,32.0,33.0,32.0,34.0,34.0,35.0,32.0,29.0,31.0,37.0,33.0,36.0,38.0,37.0,33.0,37.0,34.0,29.0,34.0,25.0,34.0,34.0,34.0,35.0,37.0,33.0,34.0,36.0,36.0,35.0,33.575,3.161
44,30.0,33.0,36.0,26.0,33.0,41.0,31.0,35.0,33.0,29.0,32.0,30.0,32.0,34.0,34.0,35.0,32.0,29.0,31.0,37.0,32.0,36.0,38.0,37.0,33.0,37.0,34.0,29.0,34.0,25.0,34.0,33.0,34.0,35.0,37.0,33.0,34.0,36.0,36.0,35.0,33.375,3.152
