Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
27,10.0,8.0,10.0,10.0,12.0,11.0,14.0,11.0,12.0,12.0,14.0,10.0,16.0,9.0,10.0,11.0,13.0,11.0,10.0,12.0,10.0,8.0,7.0,9.0,16.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,12.0,9.0,9.0,11.0,11.0,10.85,1.851
28,10.0,8.0,10.0,10.0,12.0,11.0,13.0,11.0,12.0,12.0,13.0,10.0,16.0,9.0,10.0,11.0,13.0,11.0,10.0,12.0,10.0,8.0,7.0,9.0,15.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,12.0,9.0,9.0,11.0,11.0,10.775,1.71
29,10.0,8.0,10.0,10.0,12.0,11.0,12.0,11.0,12.0,12.0,13.0,10.0,16.0,9.0,10.0,11.0,12.0,11.0,10.0,12.0,10.0,8.0,7.0,9.0,15.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,12.0,8.0,9.0,10.0,11.0,10.65,1.696
30,10.0,8.0,10.0,7.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,10.0,16.0,9.0,10.0,11.0,12.0,10.0,10.0,12.0,10.0,8.0,7.0,9.0,15.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,12.0,8.0,9.0,10.0,11.0,10.525,1.761
31,10.0,8.0,10.0,7.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,10.0,16.0,9.0,10.0,11.0,12.0,10.0,9.0,12.0,10.0,8.0,7.0,9.0,15.0,9.0,9.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,12.0,8.0,9.0,10.0,11.0,10.45,1.802
32,10.0,8.0,10.0,7.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,10.0,16.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,14.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,8.0,9.0,10.0,11.0,10.25,1.684
33,10.0,8.0,10.0,7.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,10.0,16.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,14.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,11.0,11.0,10.0,8.0,9.0,10.0,11.0,10.175,1.716
34,10.0,8.0,10.0,7.0,12.0,9.0,12.0,11.0,12.0,12.0,12.0,10.0,16.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,14.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,11.0,11.0,10.0,8.0,9.0,10.0,11.0,10.125,1.72
35,10.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,12.0,9.0,11.0,10.0,14.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,14.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,11.0,11.0,10.0,8.0,9.0,10.0,11.0,9.925,1.587
36,10.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,12.0,9.0,11.0,10.0,14.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,14.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,8.0,11.0,11.0,10.0,8.0,9.0,10.0,11.0,9.875,1.615
37,9.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,12.0,9.0,9.0,10.0,14.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,13.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,8.0,11.0,11.0,10.0,8.0,9.0,10.0,9.0,9.675,1.539
38,9.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,12.0,9.0,9.0,10.0,14.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,13.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,11.0,11.0,10.0,8.0,9.0,10.0,9.0,9.65,1.558
39,9.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,12.0,9.0,9.0,10.0,14.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,12.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.6,1.497
40,8.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,10.0,9.0,9.0,10.0,14.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,12.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.525,1.466
